State,Group,Cases,Deaths,Population
Iowa,Unknown,0.178209459,0.099033816,
Idaho,Unknown,0.344171205,0.034246575,
Illinois,Unknown,0.235790486,0.039393939,
Indiana,Unknown,0.253495158,0.138477437,
Kansas,Unknown,0.179218607,0.027607362,
Kentucky,Unknown,0.336423058,0.075714286,
Louisiana,Unknown,0.248098983,0.061387191,
Massachusetts,Unknown,0.326573675,0.006448587,
Maryland,Unknown,0.167526389,0.004651163,
Maine,Unknown,0.099108547,0.084033613,
Michigan,Unknown,0.171818927,0.03484375,
Minnesota,Unknown,0.132797685,0.034696406,
Missouri,Unknown,0.229994991,0.034252297,
Northern Mariana Islands,Unknown,1,1,
Mississippi,Unknown,0.150045886,0.016722408,
Montana,Unknown,0.28545781,0.413043478,
North Carolina,Unknown,0.295671307,0.034733894,
North Dakota,Unknown,1,1,
Nebraska,Unknown,0.219920383,0.041139241,
New Hampshire,Unknown,0.133467993,0.007334963,
New Jersey,Unknown,0.39474139,0.139165136,
New Mexico,Unknown,0.067324861,0.351791531,
Nevada,Unknown,0.395070373,0.220708447,
New York,Unknown,1,0.107014994,
Ohio,Unknown,0.134942253,0.016933777,
Oklahoma,Unknown,0.18941985,0.054435484,
Oregon,Unknown,0.156880296,0.117647059,
Pennsylvania,Unknown,0.515010472,0.017701602,
Puerto Rico,Unknown,1,1,
Rhode Island,Unknown,0.271619842,0.190618762,
South Carolina,Unknown,0.361777854,0.18175721,
South Dakota,Unknown,0,1,
Tennessee,Unknown,0.235362374,0.009307135,
Texas,Unknown,0.931309871,0.863040889,
United States,Unknown,0.430106844,0.100400365,
Utah,Unknown,0.113396361,0.04379562,
Virginia,Unknown,0.240590301,0.035611165,
Virgin Islands,Unknown,1,1,
Vermont,Unknown,0.005714286,0,
Washington,Unknown,0.335176214,0.024650233,
Wisconsin,Unknown,0.102942293,0.017797553,
West Virginia,Unknown,0,0.40776699,
Wyoming,Unknown,0.215353535,0.04,
